target	object	http_code	remote_ip	dns_ms	tcp_ms	tls_ms	ttfb_ms	total_ms	size_bytes	speed_Bps	redirects	output_sha256	curl_rc
google-CDN	Go tarball first 5,000,000 bytes	403	74.125.142.207	1.928	2.293	21.869	49.851	49.956	387	7746	0	595f22f785527f41f883654011eb70071b9e9245a70f2e9d3c4ab12f33c67594	0
github-codeload	git-v2.46.0.tar.gz	200	20.29.134.24	8.682	9.069	37.714	272.052	1750.932	11255537	6428311	0	d9a72f1648406806d2cb3049b4a73f357e2dc8df5d2962ce6d24220f3861a221	0
pypi-files	numpy-2.3.5-cp313-cp313-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl	200	151.101.64.223	10.753	11.130	36.006	45.568	1016.078	16597430	16334799	0	11e06aa0af8c0f05104d56450d6093ee639e15f24ecf62d417329d06e522e017	0
huggingface	sshleifer/tiny-gpt2 pytorch_model.bin	200	34.36.28.89	33.027	33.600	62.409	301.969	488.611	2514146	5145496	1	b706b24034032bdfe765ded5ab6403d201d295a995b790cb24c74becca5c04e6	0
cloudflare-speed	10,000,000-byte generated payload	200	172.66.0.218	17.000	17.338	58.783	103.219	3424.626	10000000	2920026	0	dd2881660e1039abe3380e6563cea3cd323487fa8e7c99b49d75a8f298617b51	0
